session_id,phase,iteration,elapsed_sec,x_px,y_px,dec_disp_px,ra_disp_px,image_width,image_height
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.201819,672.868,329.686,2.143,0.223,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.232604,672.930,329.809,2.110,0.090,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.267311,672.920,329.786,2.115,0.115,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.302382,672.874,329.800,2.163,0.112,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.335531,672.908,329.742,2.117,0.160,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.369860,672.919,329.962,2.155,-0.057,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.399451,673.056,329.869,2.001,0.003,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.436333,673.051,329.760,1.982,0.111,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.469369,672.995,329.761,2.036,0.123,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.503152,673.001,329.687,2.014,0.193,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.534211,672.897,329.836,2.148,0.071,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.569063,673.159,329.731,1.870,0.115,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.602257,672.993,330.065,2.106,-0.173,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.634661,672.923,329.783,2.111,0.117,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.668787,672.846,329.728,2.174,0.188,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.702287,672.823,329.775,2.207,0.147,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.734070,672.954,329.976,2.125,-0.078,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.765426,672.971,329.913,2.094,-0.021,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.799483,672.967,329.721,2.055,0.168,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.834052,673.020,329.628,1.981,0.246,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.867711,673.058,329.543,1.926,0.321,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.903176,673.016,329.850,2.036,0.031,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.934759,672.988,329.882,2.071,0.005,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.968479,673.044,329.930,2.027,-0.053,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,26.002285,673.049,330.002,2.038,-0.125,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,26.035842,673.020,329.623,1.980,0.251,1280,720
